Boletos,Ingresos,% Δ,Cantidad,% Δ
COMODORO RIVADAVIA → NEUQUEN,5897125.004927,,51,
TRELEW → NEUQUEN,4211469.999425,1.0987880169601874,51,0.8214285714285714
Mendoza → Salta,7311509.997932999,3.0250536690174457,50,3.1666666666666665
Retiro Buenos Aires → PUERTO MADRYN,6631490.0034610005,1.5916811233940071,50,1
Cipolletti - RNG → Catriel,570434.994095,2.603278466456529,49,2.2666666666666666
Cipolletti - RNG → PUERTO MADRYN,3447103.85645,4.809366590336516,48,3.8
COMODORO RIVADAVIA → RIO GALLEGOS,4156930.0029519997,,47,
RIO GALLEGOS → COMODORO RIVADAVIA,4064374.001937,,47,
Mendoza → LA RIOJA,3690985.07297,4.477620581369505,47,4.222222222222222
Salta → TUCUMAN,1500256.00734,1.1204552411443072,47,1.2380952380952381
NEUQUEN → Catriel,545739.9947759999,1.4165965577694715,47,1.2380952380952381
Las Vegas → Mendoza,369373.12498,2.0858239671781456,47,1.4736842105263157
Mendoza → Penitenciaria Almafuerte,231840.00736299998,0.5771428864709424,47,0.34285714285714286
PUERTO MADRYN → RIO GALLEGOS,7663919.005604999,3.6395524784363893,45,2.75
BAHIA BLANCA → CORDOBA,4820148.002532,1.0173103957454104,45,1.0454545454545454
San Salvador de Jujuy → Salta,685880.0009930001,2.2667174914494255,45,2.4615384615384617
Santa Rosa - LPA → Mendoza,3816750.008579999,6.285542526619318,44,6.333333333333333
Mendoza → Piedras Blancas,374744.937139,1.2819689310687015,44,0.9130434782608695
CORDOBA → Caleta Olivia,9769455.802261999,21.917232579411657,43,20.5
Retiro Buenos Aires → San Juan,4627230.004977,,43,
PARANA → Mendoza,4102350.0017999997,4.065505154669572,43,4.375
Retiro Buenos Aires → SAN LUIS,3098560.5566310002,0.6912063104584094,42,0.5
Salta → San Salvador de Jujuy,601104.9976819998,21.71749813779836,42,20
LA RIOJA → Salta,3539905.9992890004,4.5039274787891825,41,4.857142857142857
LA RIOJA → Mendoza,3483704.0698050004,2.8753465910061045,41,2.727272727272727
SIERRA GRANDE - RNG → NEUQUEN,2275308.6027340004,4.649712161698696,41,2.727272727272727
CORDOBA → TRELEW,6582575.199777,6.598230695210106,40,5.666666666666667
Mendoza → PARANA,3731699.9980339995,3.6659081197208376,40,4
PUERTO MADRYN → Caleta Olivia,2036454.999605,14.824500672303055,40,12.333333333333334
Bariloche-guionn → Mendoza,3738181.9950449998,4.1592294119223725,39,3.3333333333333335
San Salvador de Jujuy → CORDOBA,3491614.995897,4.426565434119248,39,3.3333333333333335
Mendoza → General Pico - LPM,2599159.998517,4.763487606518294,38,3.75
Catriel → General Roca,768179.999415,1.2304878125120005,38,0.9
RIO GALLEGOS → TRELEW,4971815.998702,2.4469551976681716,37,2.3636363636363638
San Salvador de Jujuy → Calama,3545649.9997519995,3.168900654209953,37,3.111111111111111
Catriel → Mendoza,2313728.003476,1.4458891764271857,37,1.3125
Bariloche → Cipolletti - RNG,1095019.991897,5.206892587761382,37,6.4
General Roca → Catriel,733430.0022780001,1.8165514589017437,37,1.4666666666666666
Catriel → Cipolletti - RNG,424024.998164,2.980707907664769,37,2.7
Caleta Olivia → CORDOBA,8939549.854827,49.95851222640731,36,35
CORDOBA → PUERTO MADRYN,5173751.993494,1.849923976331047,36,1.7692307692307692
Mendoza → Santa Rosa - LPA,3092250.0036430005,2.6995716920338424,36,2.6
Mendoza → Catriel,2214669.999738,1.8114225543344962,36,1.7692307692307692
Retiro Buenos Aires → Caleta Olivia,6248970.005321001,22.8055999377444,35,16.5
NEUQUEN → Caleta Olivia,4106295.0042620003,8.687056972969978,35,7.75
NEUQUEN → GENERAL ALVEAR,1469560.0026540002,1.4181928803813468,35,1.3333333333333333
BAHIA BLANCA → VIEDMA,660860.5489459999,3.785723461465142,35,3.375
El Salto → Mendoza,269639.99945299997,1.6749999698402775,35,1.1875
CORDOBA → COMODORO RIVADAVIA,7425326.833167999,,34,
Salta → Mendoza,4920609.99834,1.4729790161716154,34,1.6153846153846154
Cipolletti - RNG → TRELEW,2679440.004454,4.45566350116494,34,3.857142857142857
PUERTO MADRYN → Cipolletti - RNG,2435669.9969329997,3.222802050455532,34,2.7777777777777777
Mendoza → Caleta Olivia,7977128.813014001,28.349043898441725,33,32
Retiro Buenos Aires → COMODORO RIVADAVIA,5758520.006519999,,33,
SAN LUIS → BAHIA BLANCA,3128289.996402,2.6652489755583217,33,2.6666666666666665
SAN LUIS → Retiro Buenos Aires,2440790.0006179996,0.131992077621059,33,0
San Juan → Santiago,2017418.6062180002,32.12674207995341,33,32
PUERTO MADRYN → BAHIA BLANCA,1985531.43879,2.0465084980335138,33,1.3571428571428572
Retiro Buenos Aires → TRELEW,4557230.000619,2.31946710874015,32,1.2857142857142858
Caleta Olivia → NEUQUEN,3985460.0010479996,13.058059988208697,32,9.666666666666666
CORDOBA → BAHIA BLANCA,3196689.9987310003,1.4080104101505762,31,1.5833333333333333
LINIERS → SAN LUIS,2084581.595626,1.4054159816132945,31,1.3846153846153846
NEUQUEN → SAN ANTONIO OESTE,1190744.958485,4.142051951346997,31,2.4444444444444446
Penitenciaria Almafuerte → Mendoza,153720.004323,0.742857238524784,31,0.47619047619047616
General Pico - LPM → Mendoza,2040430.0006459998,3.0109097270055023,30,2.3333333333333335
Villa la Angostura → Valdivia,1648500.003224,4.2333333166871965,30,4
PUERTO MADRYN → CORDOBA,4236741.998371,0.9033786712435948,29,0.9333333333333333
LINIERS → Mendoza,2759049.9985020002,1.27102865309405,29,1.0714285714285714
BAHIA BLANCA → TRELEW,2371469.999059,1.9444989340461103,29,1.2307692307692308
Valdivia → Bariloche,1575000.009508,2.0612245050689992,29,1.9
TUCUMAN → San Salvador de Jujuy,929850.000316,0.9922226515570124,29,1.0714285714285714
Santa Isabel - LPM → GENERAL ALVEAR,363870.0066089999,14.4706636383883,29,13.5
Villa Regina → NEUQUEN,343379.99516000005,2.5661022025979925,29,1.6363636363636365
Mendoza → COMODORO RIVADAVIA,6434419.994574,,28,
COMODORO RIVADAVIA → Mendoza,6348130.99522,,28,
Resistencia → TRELEW CUSTOM ANDESMAR AR,5746553.669167,,28,
NEUQUEN → SIERRA GRANDE - RNG,1650763.5999780002,5.208445527274889,28,3
SAN LUIS → CORDOBA,1047159.998877,0.12585743108878963,28,0.037037037037037035
San Juan → Retiro Buenos Aires,2885770.008196,13.60262123639458,27,12.5
Parador Purmamarca → San Pedro De Atacama,2551499.9957810002,3.5000000123844797,27,3.5
Mendoza → LINIERS,2437730.002442,0.9251417560245088,27,0.9285714285714286
Villa la Angostura → Santiago,2163000.0066789994,0.9162790696204214,27,0.8
Temuco → Bariloche,1551899.997284,15.60674152122351,27,12.5
PUERTO MADRYN → Mendoza,4792432.99544,1.8346672357524625,26,1.8888888888888888
Mar del Plata → NEUQUEN,2826599.9958539996,,26,
San Salvador de Jujuy → San Pedro De Atacama,2457000.000047,5.500000012832011,26,5.5
NEUQUEN → BAHIA BLANCA,1197010.000056,,26,
CORDOBA → Merlo - SLU,588910.000449,3.8549876714077054,26,4.2
Mendoza → PUERTO MADRYN,4926894.656953,1.3599787778750156,25,1.0833333333333333
LAS GRUTAS → CORDOBA,3347150.004536,,25,
CORDOBA → LAS GRUTAS,3285780.0073969997,,25,
PUNTA ALTA → Mendoza,3106567.205027,29.651871588269422,25,24
Salta → LA RIOJA,2167750.001495,0.46012811274601156,25,0.47058823529411764
Valdivia → Villa la Angostura,1344000.000784,,25,
Mendoza → Chacritas,166849.99726700003,2.744389557924175,25,2.125
Buenos Aires → PUERTO MADRYN,3167549.997397,2.2969555000417126,24,1.6666666666666667
San Pedro De Atacama → Parador Purmamarca,2268000.003403,2.000000000612434,24,2
Merlo - SLU → CORDOBA,537000.003087,4.582120616240895,24,5
BAHIA BLANCA → Gral San Martin - LPM,378030.002419,1.6753716120763236,24,1.4
GENERAL ALVEAR → Santa Isabel - LPM,278469.99937599996,22.679422813034474,24,23
COMODORO RIVADAVIA → CORDOBA,4587351.00373,,23,
NEUQUEN → Mar del Plata,2492699.99577,,23,
Villa Carlos Paz → Mendoza,1332250.002229,2.890418243235822,23,2.8333333333333335
Bariloche → Plottier,782819.997324,24.886905104005066,23,22
San Juan → Mendoza,649739.9980489999,11.375999903433296,23,10.5
PUERTO MADRYN → SIERRA GRANDE - RNG,333520.00113,2.3825557494082923,23,1.875
TRELEW → RIO GALLEGOS,3392456.000407,3.168634996200889,22,2.6666666666666665
Calama → San Salvador de Jujuy,2128149.997105,0.7323158317021918,22,0.6923076923076923
Villa la Angostura → Puerto Montt,1254749.997631,0.1402671674064243,22,0.047619047619047616
BAHIA BLANCA → NEUQUEN,1009050.0005669999,,22,
VIEDMA → TRELEW,897436.0002,1.5896291973994336,22,0.6923076923076923
SAN LUIS → General Pico - LPM,880670.0009929999,2.4945835854371743,22,2.142857142857143
Mendoza → San Juan,603779.997274,15.591920813928073,22,21
Caleta Olivia → COMODORO RIVADAVIA,440609.996007,,22,
COMODORO RIVADAVIA → Retiro Buenos Aires,3620720.00233,,21,
Caleta Olivia → Retiro Buenos Aires,3583259.998272,,21,
Mendoza → Añelo,2373000.002107,2.5857025250670183,21,2.5
COMODORO RIVADAVIA → BAHIA BLANCA,2169277.995941,,21,
BAHIA BLANCA → SAN LUIS,1976009.997393,1.6173357885027166,21,1.625
Santa Rosa - LPA → Monte Hermoso,1127599.9984900001,,21,
PUERTO MADRYN → LAS GRUTAS,701780.003547,6.76133595817221,21,2.5
San Salvador de Jujuy → TUCUMAN,641879.996069,1.7750972325741834,21,2
SIERRA GRANDE - RNG → TRELEW,430293.5694229999,24.61271240314754,21,20
Piedras Blancas → Mendoza,179240.00197699998,0.4766848127906904,21,0.23529411764705882
CATAMARCA → Salta,1707113.9973169998,7.602237349267865,20,5.666666666666667
SAN LUIS → LINIERS,1472806.073925,1.7604417161193666,20,1.5
Mendoza → Cinco Saltos,1450369.999541,0.7445122044094199,20,0.5384615384615384
General Roca → TRELEW,1401179.999936,1.436029828638477,20,1.5
General Roca → PUERTO MADRYN,1166959.99816,10.773204058998486,20,9
SANTIAGO DEL ESTERO → Salta,979717.999893,,20,
CORRIENTES → PARANA,910079.004639,0.9107063898667288,20,0.8181818181818182
CORDOBA → SAN LUIS,760240.0007030001,0.12954460907596854,20,0.05263157894736842
Mendoza → RIO CUARTO,726939.9976040001,2.1267581375758646,20,1.8571428571428572
RESISTENCIA → Goya Terminal,399261.998106,,20,
NEUQUEN → Villa Regina,204140.001751,2.676873379857767,20,2.3333333333333335
TRELEW → CORDOBA,2923240.99681,1.5531202527663222,19,1.7142857142857142
Cipolletti - RNG → Caleta Olivia,2452019.998104,,19,
Mendoza → CATAMARCA,1802981.9982760001,0.3244268460312978,19,0.35714285714285715
Salta → SANTIAGO DEL ESTERO,975489.998657,,19,
CORDOBA → Realico - LPM,772036.0001760001,2.4722279408913757,19,2.1666666666666665
RIO CUARTO → Mendoza,767909.9994030001,1.0751519998589765,19,0.7272727272727273
SAN ANTONIO OESTE → NEUQUEN,761584.997099,1.7376433247337042,19,1.1111111111111112
PUERTO MADRYN → VIEDMA,633059.9995739999,3.555109384768019,19,2.8
Cinco Saltos → Bariloche,615555.002276,2.074086110092156,19,2.1666666666666665
TRELEW → TUCUMAN,3966876.9992800006,22.550682809435298,18,17
RESISTENCIA → Mendoza,3055499.999718,7.47149826373111,18,3.5
Mendoza → San Francisco - CBA,1700059.9976279999,18.72456184543387,18,17
Mendoza → Valparaíso,1513049.995466,,18,
Santiago → San Juan,1096199.9991849998,,18,
Bariloche → Temuco,1029000.0004400002,3.9494949283280145,18,3.5
Villa la Angostura → Osorno,955500.001391,-0.029850747134688948,18,-0.18181818181818182
BAHIA BLANCA → Cipolletti - RNG,795900.0008469999,,18,
GENERAL ALVEAR → NEUQUEN,761485.001749,0.16078261190874488,18,0.125
Plottier → Bariloche,613959.997977,2.831502769362014,18,2.6
Cinco Saltos → Catriel,174065.000012,2.7741760816095984,18,2.6
San Juan → Mar del Plata,2509499.997949,,17,
LA PLATA → PUERTO MADRYN,2378119.998295,3.977749869068786,17,2.4
BAHIA BLANCA → COMODORO RIVADAVIA,1935540.002217,,17,
San Pedro De Atacama → San Salvador de Jujuy,1606499.9985459999,2.3999999977214808,17,2.4
Mendoza → SANTA ROSA - LPM,1323000.001931,16.999999945455784,17,16
SANTA ROSA - LPM → Mendoza,1187559.999315,,17,
TRELEW → Cipolletti - RNG,1174680.0013289999,1.5309288348397085,17,1.4285714285714286
LINIERS → BAHIA BLANCA,1026230.0023970001,7.144682637761484,17,7.5
COMODORO RIVADAVIA → Luis Piedrabuena,986749.9991509999,,17,
BAHIA BLANCA → Buenos Aires,971920.000169,0.37773052928914885,17,0.3076923076923077
Villa Regina → PUERTO MADRYN,908090.006393,1.9295116152377143,17,1.8333333333333333
Monte Hermoso → Santa Rosa - LPA,905549.9994280001,,17,
Buenos Aires → Mar del Plata,889370.00231,0.16444742147575392,17,-0.15
TRELEW → LAS GRUTAS,707194.998728,,17,
LAS GRUTAS → TRELEW,687859.9984609999,,17,
BAHIA BLANCA → Santa Rosa - LPA,503590.003324,3.379424311209268,17,3.25
San Francisco - CBA → SANTA FE,262970.00003799994,3.9729576408461775,17,3.25
CORDOBA → RIO GALLEGOS,4812789.001387,1.8593192494853141,16,2.2
Mendoza → TRELEW,3833578.002062,0.6108932584484499,16,0.23076923076923078
Mendoza → LAS GRUTAS,2194072.004784,6.087688690147091,16,7
COMODORO RIVADAVIA → Cipolletti - RNG,2097660.001887,,16,
Salta → RIO CUARTO,1957585.9980680002,3.9037725631847278,16,3
Mendoza → PUNTA ALTA,1790880.000355,6.431037319662316,16,7
CATAMARCA → Mendoza,1497279.995971,1.3350124007914408,16,1.2857142857142858
Santiago → Villa la Angostura,1281000.00481,0.43529411876189167,16,0.3333333333333333
