Boletos,Ingresos,% Δ,Cantidad,% Δ
San Salvador de Jujuy → Salta,895839.9999,0.04%,58,0.19%
PUERTO MADRYN → RIO GALLEGOS,9315785.008,0.43%,57,0.19%
Mendoza → LA RIOJA,4364815.072,0.20%,56,0.18%
SAN LUIS → CORDOBA,1977260.001,0.09%,55,0.18%
Mendoza → Bariloche-guionn,3691391.774,0.17%,54,0.18%
Catriel → Mendoza,3259694.005,0.15%,53,0.17%
LA RIOJA → Mendoza,4382644.071,0.20%,52,0.17%
SIERRA GRANDE - RNG → NEUQUEN,2678038.607,0.12%,52,0.17%
General Roca → Catriel,993830.0031,0.05%,52,0.17%
Penitenciaria Almafuerte → Mendoza,241920.002,0.01%,52,0.17%
NEUQUEN → COMODORO RIVADAVIA,6401265.006,0.30%,51,0.17%
COMODORO RIVADAVIA → NEUQUEN,5897125.005,0.27%,51,0.17%
PARANA → Mendoza,4912210.001,0.23%,51,0.17%
El Salto → Mendoza,370440.0004,0.02%,51,0.17%
Santa Rosa - LPA → Mendoza,4340630.007,0.20%,50,0.16%
NEUQUEN → GENERAL ALVEAR,2077270.006,0.10%,50,0.16%
Los Arboles → Mendoza,293999.9904,0.01%,50,0.16%
CORDOBA → PUERTO MADRYN,6989151.996,0.33%,49,0.16%
Mendoza → Catriel,3002409.999,0.14%,49,0.16%
RIO GALLEGOS → TRELEW,6414195.059,0.30%,48,0.16%
Mendoza → PARANA,4531479.998,0.21%,48,0.16%
Bariloche-guionn → Mendoza,4462744.075,0.21%,48,0.16%
LA RIOJA → Salta,4183066,0.19%,48,0.16%
San Salvador de Jujuy → CORDOBA,4135044.996,0.19%,48,0.16%
Salta → Mendoza,6910359.999,0.32%,47,0.15%
COMODORO RIVADAVIA → RIO GALLEGOS,4156930.003,0.19%,47,0.15%
RIO GALLEGOS → COMODORO RIVADAVIA,4064374.002,0.19%,47,0.15%
PUERTO MADRYN → BAHIA BLANCA,2637271.436,0.12%,47,0.15%
Catriel → Cipolletti - RNG,530544.9961,0.02%,47,0.15%
CORDOBA → TRELEW,7448905.2,0.35%,46,0.15%
Retiro Buenos Aires → TRELEW,5930110,0.28%,46,0.15%
San Salvador de Jujuy → Calama,4396149.998,0.20%,46,0.15%
Mendoza → Santa Rosa - LPA,3928090.004,0.18%,46,0.15%
Mendoza → General Pico - LPM,3050129.997,0.14%,46,0.15%
CORDOBA → Caleta Olivia,10195748.8,0.47%,45,0.15%
PUERTO MADRYN → CORDOBA,6462647.995,0.30%,44,0.14%
LINIERS → SAN LUIS,2951201.595,0.14%,44,0.14%
Salta → San Salvador de Jujuy,627564.9975,0.03%,44,0.14%
Retiro Buenos Aires → San Juan,4627230.005,0.22%,43,0.14%
CORDOBA → BAHIA BLANCA,4524213.329,0.21%,43,0.14%
LINIERS → Mendoza,3973939.998,0.18%,43,0.14%
PUERTO MADRYN → Cipolletti - RNG,3012459.997,0.14%,43,0.14%
