Boletos,Ingresos,% Δ,Cantidad,% Δ
PUERTO MADRYN → RIO GALLEGOS,9315785.008031998,,57,
Mendoza → LA RIOJA,4300705.072675001,66.08321781638924,55,54
Catriel → General Roca,1057979.998192,18.37692312117526,55,17.333333333333332
San Salvador de Jujuy → Salta,851890.000793,18.38316308881155,55,17.333333333333332
Mendoza → Bariloche-guionn,3691391.7741219997,,54,
Catriel → Mendoza,3201834.005272,54.33760873022417,52,51
SIERRA GRANDE - RNG → NEUQUEN,2678038.6069560004,,52,
NEUQUEN → COMODORO RIVADAVIA,6401265.006499,,51,
COMODORO RIVADAVIA → NEUQUEN,5897125.004927,,51,
PARANA → Mendoza,4912210.001255,,51,
LA RIOJA → Mendoza,4318534.07149,66.36131793968153,51,50
El Salto → Mendoza,370440.000385,,51,
Penitenciaria Almafuerte → Mendoza,237720.001336,55.599991882001206,51,50
Santa Rosa - LPA → Mendoza,4340630.007171,,50,
SAN LUIS → CORDOBA,1818070,10.420755011573329,50,9
NEUQUEN → GENERAL ALVEAR,2034110.005422,46.12951791618592,49,48
General Roca → Catriel,943430.003648,17.718849473718173,49,15.333333333333334
Los Arboles → Mendoza,288119.990391,47.999997899149676,49,48
Mendoza → PARANA,4531479.998472,,48,
Bariloche-guionn → Mendoza,4462744.075267,,48,
Mendoza → Catriel,2944549.999243,49.89094421397048,48,47
COMODORO RIVADAVIA → RIO GALLEGOS,4156930.002952,,47,
RIO GALLEGOS → COMODORO RIVADAVIA,4064374.001937,,47,
San Salvador de Jujuy → CORDOBA,4033454.995577,38.703267968860956,47,46
PUERTO MADRYN → BAHIA BLANCA,2637271.4356,,47,
Catriel → Cipolletti - RNG,530544.996114,,47,
CORDOBA → TRELEW,7448905.199987001,,46,
LA RIOJA → Salta,3974885.9991309997,18.09350556762764,46,22
Mendoza → Santa Rosa - LPA,3928090.0037979996,,46,
Mendoza → General Pico - LPM,3050129.9972340004,,46,
CORDOBA → Caleta Olivia,10195748.80114,,45,
Salta → Mendoza,6668859.999630999,26.614327226051383,45,21.5
CORDOBA → PUERTO MADRYN,6422561.9945869995,10.335466527261088,45,10.25
RIO GALLEGOS → TRELEW,6029180.167474,14.659602527283305,45,14
San Salvador de Jujuy → Calama,4301649.997853001,44.5201056514329,45,44
LINIERS → SAN LUIS,2951201.594645,,44,
Salta → San Salvador de Jujuy,627564.9975480001,,44,
Retiro Buenos Aires → San Juan,4627230.004977,,43,
PUERTO MADRYN → Cipolletti - RNG,3012459.997466,,43,
PUERTO MADRYN → Caleta Olivia,2165145.000116,,43,
BAHIA BLANCA → VIEDMA,798950.548142,,43,
Retiro Buenos Aires → TRELEW,5545810.0006450005,13.430939413981841,42,9.5
CORDOBA → BAHIA BLANCA,4401043.328632,34.731455058506214,42,41
SAN LUIS → BAHIA BLANCA,3981789.995246,,42,
Villa la Angostura → Santiago,3291750.0102510005,,42,
Villa la Angostura → Puerto Montt,2320500.002923,65.96969606642094,42,41
Mar del Plata → Buenos Aires,1769399.997317,,42,
Bariloche → Cipolletti - RNG,1271439.992149,,42,
PUERTO MADRYN → CORDOBA,5996651.994326999,11.868462356659586,41,12.666666666666666
LINIERS → Mendoza,3812239.9988470003,22.576005109723674,41,19.5
Mendoza → LINIERS,3703990.0037189997,,41,
Cipolletti - RNG → TRELEW,3170570.0024609994,,41,
TUCUMAN → San Salvador de Jujuy,1335050.000739,20.694020323310944,41,19.5
BAHIA BLANCA → TRELEW,3047180.000117,22.497686647806677,40,19
NEUQUEN → SAN ANTONIO OESTE,1422314.9561730002,,40,
Villa Regina → NEUQUEN,439669.99910600006,,40,
NEUQUEN → Caleta Olivia,4530190.003095999,,39,
Salta → LA RIOJA,3368600.002525,10.870463044646879,39,12
General Pico - LPM → Mendoza,2549150.0017239996,,39,
Valdivia → Bariloche,2089500.0100470001,,39,
Piedras Blancas → Mendoza,300620.00157100003,,38,
Caleta Olivia → CORDOBA,9114977.854277,,37,
Retiro Buenos Aires → Caleta Olivia,6511470.006230999,,37,
Mendoza → PUERTO MADRYN,6859480.657894,43.22618091821336,36,35
Villa la Angostura → Valdivia,1963500.0048419998,,36,
PUERTO MADRYN → Mendoza,6483083.994962999,,35,
Caleta Olivia → NEUQUEN,4268960.000649,,35,
NEUQUEN → SIERRA GRANDE - RNG,1916653.602995,,35,
CORDOBA → SAN LUIS,1300570.0008590003,8.79935193501806,35,7.75
VIEDMA → TRELEW,1243986.000911,,35,
